                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1884,                 3.5187,                 1.6008,                0.00461,                      1,                0.30078,                0.21708,                0.89138,                  3.684,                 1.3704,             0.00029997,             0.00029997,             0.00029997
                      2,                  1.016,                 2.6731,                 1.4608,                0.73548,                0.32113,                0.53329,                 0.3683,                 1.1476,                 2.8923,                 1.5621,               0.000605,               0.000605,               0.000605
                      3,                0.98863,                 2.3416,                 1.3766,                0.60145,                0.79357,                0.78647,                0.55864,                 1.0551,                 2.3405,                 1.6514,             0.00090387,             0.00090387,             0.00090387
                      4,                0.95508,                 2.0581,                 1.3191,                0.68901,                 0.6116,                0.68471,                0.46782,                 1.0472,                 3.1471,                 1.6692,               0.001078,               0.001078,               0.001078
                      5,                 1.0038,                 2.0205,                 1.3499,                0.69902,                0.60059,                0.67095,                0.43762,                 1.3201,                 2.9566,                 1.8324,               0.001067,               0.001067,               0.001067
                      6,                0.97697,                 1.8424,                 1.3432,                0.78155,                 0.7894,                0.85839,                0.56226,                 1.1333,                 1.9822,                 1.6355,               0.001056,               0.001056,               0.001056
                      7,                 0.9485,                  1.699,                 1.2889,                0.82016,                0.84176,                 0.9302,                0.67861,                 1.0207,                 1.7399,                 1.5552,               0.001045,               0.001045,               0.001045
                      8,                0.89552,                 1.5387,                 1.2689,                0.75894,                0.79479,                0.92228,                 0.6867,                 1.0007,                 1.8503,                 1.4937,               0.001034,               0.001034,               0.001034
                      9,                0.97072,                 1.6022,                 1.3035,                 0.8261,                0.82442,                0.90281,                0.56073,                 1.2746,                  1.803,                 1.6829,               0.001023,               0.001023,               0.001023
                     10,                0.94235,                 1.4739,                 1.2902,                0.81409,                0.88085,                  0.952,                0.67455,                 1.0817,                 1.5554,                 1.4866,               0.001012,               0.001012,               0.001012
                     11,                0.89399,                 1.4426,                  1.239,                0.77513,                0.85443,                0.91665,                0.64557,                 1.0651,                 1.6446,                 1.4772,               0.001001,               0.001001,               0.001001
                     12,                0.92735,                 1.4269,                 1.2522,                0.86065,                0.93416,                0.94655,                0.70288,                0.94729,                 1.2591,                 1.3788,             0.00099001,             0.00099001,             0.00099001
                     13,                0.90672,                 1.4004,                  1.253,                0.88291,                0.88084,                0.95593,                0.71496,                0.92137,                 1.2463,                 1.3572,             0.00097901,             0.00097901,             0.00097901
                     14,                0.89198,                 1.3543,                 1.2335,                0.88886,                0.88665,                0.97312,                 0.7438,                0.91863,                 1.2651,                 1.3618,             0.00096801,             0.00096801,             0.00096801
                     15,                0.89214,                  1.328,                 1.2515,                0.87135,                0.88571,                0.94269,                0.74227,                0.92128,                 1.2104,                 1.3427,             0.00095702,             0.00095702,             0.00095702
                     16,                0.89294,                 1.3181,                 1.2462,                0.92327,                0.84446,                0.97555,                0.73373,                0.95734,                 1.0983,                 1.3759,             0.00094602,             0.00094602,             0.00094602
                     17,                0.90121,                 1.2375,                 1.2401,                0.95076,                0.93954,                0.98218,                0.75025,                 0.9064,                 1.0226,                 1.2868,             0.00093502,             0.00093502,             0.00093502
                     18,                0.86892,                 1.1684,                 1.1755,                0.93587,                0.93096,                0.97289,                0.74542,                0.92866,                 1.0637,                  1.325,             0.00092402,             0.00092402,             0.00092402
                     19,                 0.8479,                 1.1574,                 1.2186,                0.89547,                0.93047,                0.97241,                0.75796,                0.90611,                0.97121,                 1.2967,             0.00091302,             0.00091302,             0.00091302
                     20,                0.81491,                 1.1463,                 1.1872,                0.93179,                0.93636,                0.97379,                0.77199,                0.88786,                0.95383,                 1.3108,             0.00090202,             0.00090202,             0.00090202
                     21,                0.88136,                 1.1736,                 1.2445,                0.93772,                0.90891,                0.96494,                0.75591,                  0.869,                0.93934,                 1.3083,             0.00089102,             0.00089102,             0.00089102
                     22,                0.81402,                 1.0345,                 1.1715,                0.92762,                0.96508,                0.98089,                0.77599,                0.84345,                0.87407,                 1.3058,             0.00088002,             0.00088002,             0.00088002
                     23,                0.84329,                 1.0667,                 1.1952,                0.93926,                0.97266,                0.97987,                0.76179,                0.92897,                0.89785,                 1.3717,             0.00086902,             0.00086902,             0.00086902
                     24,                0.85206,                 1.0441,                 1.1692,                0.95308,                 0.9689,                0.98755,                0.77092,                0.85666,                0.83887,                 1.2764,             0.00085803,             0.00085803,             0.00085803
                     25,                0.79384,                 1.0268,                  1.181,                0.89918,                0.98333,                 0.9885,                0.79171,                0.86526,                0.86053,                 1.2782,             0.00084703,             0.00084703,             0.00084703
                     26,                 0.8009,                0.97825,                 1.1604,                0.92991,                0.92147,                0.97591,                0.78492,                0.83156,                0.87754,                 1.2537,             0.00083603,             0.00083603,             0.00083603
                     27,                0.77019,                0.96965,                 1.1495,                0.97655,                0.93896,                 0.9801,                0.76842,                0.88831,                0.80042,                 1.3138,             0.00082503,             0.00082503,             0.00082503
                     28,                0.78005,                0.97674,                 1.1616,                0.90026,                0.96667,                  0.944,                0.74419,                 0.8736,                0.90664,                 1.2982,             0.00081403,             0.00081403,             0.00081403
                     29,                0.82187,                0.93519,                 1.1929,                0.94715,                0.97157,                0.98971,                0.77987,                0.89092,                0.81168,                 1.3637,             0.00080303,             0.00080303,             0.00080303
                     30,                0.77519,                0.85361,                   1.14,                 0.9432,                0.96468,                0.98137,                 0.7555,                0.92993,                0.79708,                 1.3504,             0.00079203,             0.00079203,             0.00079203
                     31,                 0.7553,                0.86359,                 1.1485,                0.94497,                 0.9621,                0.97583,                0.77637,                0.86275,                0.77422,                 1.2469,             0.00078103,             0.00078103,             0.00078103
                     32,                0.75434,                 0.8243,                 1.1534,                0.92332,                0.96665,                0.97361,                0.76944,                0.87467,                0.80116,                 1.2407,             0.00077003,             0.00077003,             0.00077003
                     33,                0.75514,                0.83293,                 1.1167,                0.94085,                0.94647,                0.95847,                0.76257,                0.83997,                0.75621,                 1.2465,             0.00075904,             0.00075904,             0.00075904
